,bind_id,symbol,action,position,signal_timestamp,signal_price
333,624a5dc4-46a4-46a2-936d-7d7b77928fda,btc_usdt|binance_future,open,long,1728902400,64872.1
334,89014b0a-3508-4a25-8446-488ed0c2e31b,btc_usdt|binance_future,open,short,1728903120,64876.1
335,c424e442-5655-466b-ab73-d349ef563d3b,btc_usdt|binance_future,open,long,1728904140,64915.5
336,817393c2-7ab6-4635-a5f6-e13890433b83,btc_usdt|binance_future,open,short,1728905760,64908.9
337,8db12c23-b6a8-4ae7-8455-af349f42971d,btc_usdt|binance_future,open,long,1728906360,64928.5
338,a4b5c53f-6aac-4f3b-ad40-8550e4342280,btc_usdt|binance_future,open,short,1728906600,64864.7
339,ff00f717-d3e5-4e8a-95fc-079cf2380bf4,btc_usdt|binance_future,open,long,1728907260,64880.2
340,1701c016-4c1b-4119-8ddf-6b720d40ae88,btc_usdt|binance_future,open,short,1728907500,64839.9
341,1611d2c8-7929-44a0-b780-30267cd74526,btc_usdt|binance_future,open,long,1728907860,64940.2
342,1347ef0f-9461-4a24-9a69-56526b4418da,btc_usdt|binance_future,open,short,1728908280,64798.5
343,4212583b-8800-4bf0-acaa-7404fc788f13,btc_usdt|binance_future,open,long,1728909240,64907.0
344,3dec4ba1-dfb7-49fc-a4b8-e11683ad5229,btc_usdt|binance_future,open,short,1728909900,64882.0
345,ee4b2f2e-5bc6-4c71-934b-f6247890ab56,btc_usdt|binance_future,open,long,1728911760,64858.1
346,b9fd0b07-3903-4285-a4ba-22c7409d8930,btc_usdt|binance_future,open,short,1728912240,64756.4
347,bfdcc296-739d-4d8d-b852-f50a7b52a82b,btc_usdt|binance_future,open,long,1728913260,64712.0
348,b3915a80-885f-4536-9d39-230cbbdc43cb,btc_usdt|binance_future,open,short,1728914220,65121.3
349,a875a13e-65d3-4254-be82-326154d874f9,btc_usdt|binance_future,open,long,1728914400,65120.0
350,f04a875a-5a39-4ac5-88a8-ab75d13cccde,btc_usdt|binance_future,open,short,1728916740,65836.4
351,45b9f8e1-2d9c-4319-99d5-b6b658dd4036,btc_usdt|binance_future,open,long,1728916920,66156.1
352,332a7954-e328-4c91-8866-77eb4237fe6e,btc_usdt|binance_future,open,short,1728917640,65886.4
353,397c32e7-4756-4650-987a-ea2117f29e2c,btc_usdt|binance_future,open,long,1728918600,65937.3
354,f05547ff-0d6d-4530-9f25-384211bc1c71,btc_usdt|binance_future,open,short,1728919620,66048.6
355,82515918-6205-4562-8efa-ef6679c48525,btc_usdt|binance_future,open,long,1728919680,65979.4
356,3901e06e-50af-42cd-9390-8f3d22acff5a,btc_usdt|binance_future,open,short,1728919800,65989.4
357,efb7d48c-671e-4add-a5e0-24f5a73f0270,btc_usdt|binance_future,open,long,1728920100,66035.5
358,385ac79e-7504-43bb-afa0-2c1e1caa0581,btc_usdt|binance_future,open,short,1728920400,65950.0
359,a90f9efb-843f-4868-9a15-dd746cddb5ca,btc_usdt|binance_future,open,long,1728921420,66010.0
360,d7db77e1-eff6-4471-898e-3f8c867bb7de,btc_usdt|binance_future,open,short,1728922080,65873.7
361,038fd846-4864-44e5-8504-efb8e17e0b7b,btc_usdt|binance_future,open,long,1728923520,65736.6
362,4c32194c-40d3-4d52-9086-235200009024,btc_usdt|binance_future,open,short,1728924360,65743.2
363,185a7cfc-ee7a-4eaa-af5e-6ed69f174981,btc_usdt|binance_future,open,long,1728925620,65706.6
364,ec65cc77-2793-4513-971a-ec0933aad11c,btc_usdt|binance_future,open,short,1728925980,65636.3
365,bde962e1-7718-4a5f-9f62-486458c44b1a,btc_usdt|binance_future,open,long,1728927240,65651.2
366,04550c0c-8530-4b64-ba38-69327b7fea15,btc_usdt|binance_future,open,short,1728928380,65689.5
367,b90fad64-35a1-40b6-931a-9861bdaa49c6,btc_usdt|binance_future,open,long,1728929280,65793.1
368,5611f13a-5403-4600-928e-00cf1fe15b08,btc_usdt|binance_future,open,short,1728930000,65820.0
369,8b7cf651-4d6d-4948-a143-76f386a78f39,btc_usdt|binance_future,open,long,1728930180,65812.1
370,94cfedd2-1c9a-4d71-b9c7-548b612a649f,btc_usdt|binance_future,open,short,1728930780,65809.9
